Location,"Orlando, FL","Southhampton, UK","Tempe, AZ","Washington, DC","Berkeley, CA","Southampton, UK","Philadelphia, PA","Montreal, QC","Orlando, FL","Austin, TX","Las Vegas, NV","Ottawa, ON","Dublin, IE","Twin Cities, MN","Charlottesville, VA","Rochester, NY",
"Orlando, FL",0hrs,5hrs,3hrs,0hrs,3hrs,5hrs,0hrs,0hrs,0hrs,1hrs,3hrs,0hrs,5hrs,1hrs,0hrs,0hrs,
"Southampton, UK",5hrs,0hrs,8hrs,5hrs,8hrs,0hrs,5hrs,5hrs,5hrs,6hrs,8hrs,5hrs,0hrs,6hrs,5hrs,5hrs,  
"Tempe,AZ",3hrs,8hrs,0hrs,3hrs,0hrs,8hrs,3hrs,3hrs,3hrs,2hrs,0hrs,3hrs,8hrs,2hrs,3hrs,3hrs,
"Washington, DC",0hrs,5hrs,3hrs,0hrs,3hrs,5hrs,0hrs,0hrs,0hrs,1hrs,3hrs,0hrs,5hrs,1hrs,0hrs,0hrs,
"Berkeley, CA",3hrs,8hrs,0hrs,3hrs,0hrs,8hrs,3hrs,3hrs,3hrs,2hrs,0hrs,3hrs,8hrs,2hrs,3hrs,3hrs,
"Southampton, UK",5hrs,0hrs,8hrs,5hrs,8hrs,0hrs,5hrs,5hrs,5hrs,6hrs,8hrs,5hrs,0hrs,6hrs,5hrs,5hrs,  
"Phillidelphia, PA",0hrs,5hrs,3hrs,0hrs,3hrs,5hrs,0hrs,0hrs,0hrs,1hrs,3hrs,0hrs,5hrs,1hrs,0hrs,0hrs,
"Montreal, QC",0hrs,5hrs,3hrs,0hrs,3hrs,5hrs,0hrs,0hrs,0hrs,1hrs,3hrs,0hrs,5hrs,1hrs,0hrs,0hrs,
"Orlando, FL",0hrs,5hrs,3hrs,0hrs,3hrs,5hrs,0hrs,0hrs,0hrs,1hrs,3hrs,0hrs,5hrs,1hrs,0hrs,0hrs,
"Austin, TX",1hrs,6hrs,2hrs,1hrs,2hrs,6hrs,1hrs,1hrs,1hrs,0hrs,2hrs,1hrs,6hrs,0hrs,1hrs,1hrs,
"Las Vegas, NV",3hrs,8hrs,0hrs,3hrs,0hrs,8hrs,3hrs,3hrs,3hrs,2hrs,0hrs,3hrs,8hrs,2hrs,3hrs,3hrs,
"Ottawa, ON",0hrs,5hrs,3hrs,0hrs,3hrs,5hrs,0hrs,0hrs,0hrs,1hrs,3hrs,0hrs,5hrs,1hrs,0hrs,0hrs,
"Dublin, IE",5hrs,0hrs,8hrs,5hrs,8hrs,0hrs,5hrs,5hrs,5hrs,6hrs,8hrs,5hrs,0hrs,6hrs,5hrs,5hrs,  
"Twin Cities, MN",1hrs,6hrs,2hrs,1hrs,2hrs,6hrs,1hrs,1hrs,1hrs,0hrs,2hrs,1hrs,6hrs,0hrs,1hrs,1hrs,
"Charlottesville, VA",0hrs,5hrs,3hrs,0hrs,3hrs,5hrs,0hrs,0hrs,0hrs,1hrs,3hrs,0hrs,5hrs,1hrs,0hrs,0hrs,
"Rochester, NY",0hrs,5hrs,3hrs,0hrs,3hrs,5hrs,0hrs,0hrs,0hrs,1hrs,3hrs,0hrs,5hrs,1hrs,0hrs,0hrs,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Orlando, FL","Southampton, UK","Tempe,AZ","Washington, DC","Berkeley, CA","Southampton, UK","Philadelphia, PA","Montreal, QC","Orlando, FL","Austin, TX","Las Vegas, NV","Ottawa, ON","Dublin, IE","Twin Cities, MN","Charlottesville, VA","Rochester, NY",
"Orlando, FL",0,9,4.5,2,6,9,2,3,0,2.5,5,14,8.6,3.5,1.75,2.5,
"Southampton, UK",9,0,12,8.3,12,0,8,7.25,9,11,12,7,1,9.5,8.3,7.75,
"Tempe,AZ",4.5,12,0,4,2,12,4,4.25,4.5,2,1,15,10.25,3,3.75,4,
"Washington, DC",2,8.3,4,0,7,8.3,0.5,1.3,2,3.25,5.6,13,7.3,3,0.5,1,
"Berkeley, CA",6,12,2,7,0,12,4.6,5,6,3,1,14,10.5,3,4.5,4.5,
"Southampton, UK",9,0,12,8.3,12,0,8,7.25,9,11,12,7,1,9.5,8.3,7.75,
"Philadelphia, PA",2,8,4,0.5,4.6,8,0,1,2,3.5,6,12.75,7,3,1,1,
"Montreal, QC",3,7.25,4.25,1.3,5,7.25,1,0,3,4,6,12,6.5,2.5,1.5,1,
"Orlando, FL",0,9,4.5,2,6,9,2,3,0,2.5,5,14,8.6,3.5,1.75,2.5,
"Austin, TX",2.5,11,2,3.25,3,11,3.5,4,2.5,0,3,15,9.75,2.25,2.6,3,
"Las Vegas, NV",5,12,1,5.6,1,12,6,6,5,3,0,14.5,10,2.5,4,4,
"Ottawa, ON",14,7,15,13,14,7,12.75,12,14,15,14.5,0,8,13.75,14.75,14,
"Dublin, IE",8.6,1,10.25,7.3,10.5,1,7,6.5,8.6,9.75,10,8,0,8.5,7.75,7,
"Twin Cities, MN",3.5,9.5,3,3,3,9.5,3,2.5,3.5,2.25,2.5,13.75,8.5,0,2,1.6,
"Charlottesville, VA",1.75,8.3,3.75,0.5,4.5,8.3,1,1.5,1.75,2.6,4,14.75,7.75,2,0,1,
"Rochester, NY",2.5,7.75,4,1,4.5,7.75,1,1,2.5,3,4,14,7,1.6,1,0,